user,content,url,date,replyCount,retweetCount,likeCount,mentionedUsers
"{'username': 'adriaanmjonker', 'displayname': 'Adriaan Jonker', 'id': 1131084956, 'description': ""Nkosi Sikelel' iAfrica  |\nProudly South African 🇿🇦 |\nPowered by : Jeremiah 29:11 ✝️ |\nRemember - YOU Matter ❤️"", 'rawDescription': ""Nkosi Sikelel' iAfrica  |\nProudly South African 🇿🇦 |\nPowered by : Jeremiah 29:11 ✝️ |\nRemember - YOU Matter ❤️"", 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2013, 1, 29, 13, 43, 24, tzinfo=datetime.timezone.utc), 'followersCount': 40, 'friendsCount': 70, 'statusesCount': 116, 'favouritesCount': 153, 'listedCount': 0, 'mediaCount': 3, 'location': 'Durban, South Africa', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1302861136014999554/niDQubjs_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1131084956/1599461482'}","So will Trump win with a landslide win?
Did he plan this all from the beginning?

#Trump2020 #USElections #BidenHarris #TrumpvsBiden #viral #Landslide2020 https://t.co/3JjLePyN0d",https://twitter.com/adriaanmjonker/status/1324385949707571201,2020-11-05 16:19:50+00:00,0,0,0,
"{'username': 'Buxsie', 'displayname': 'Clive Biggs', 'id': 201186180, 'description': '', 'rawDescription': '', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2010, 10, 11, 8, 42, 5, tzinfo=datetime.timezone.utc), 'followersCount': 75, 'friendsCount': 1087, 'statusesCount': 960, 'favouritesCount': 419, 'listedCount': 0, 'mediaCount': 138, 'location': 'Cape Town, South Africa', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1304793917439856646/5i9OEjzy_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/201186180/1506718335'}",Are you busy packing your shit @POTUS time to go son!! @realDonaldTrump you got the Commander in chief  Jacket... now slide on out there!! #DonaldTrump #Biden #BidenHarris2020 #Trump2020 #TrumpLosing #2020Election @JoeBiden @KamalaHarris #BidenHarris2020,https://twitter.com/Buxsie/status/1324250391740096513,2020-11-05 07:21:11+00:00,0,0,0,"[{'username': 'POTUS', 'displayname': 'President Biden', 'id': 1349149096909668363, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}, {'username': 'realDonaldTrump', 'displayname': 'Donald J. Trump', 'id': 25073877, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}, {'username': 'JoeBiden', 'displayname': 'Joe Biden', 'id': 939091, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}, {'username': 'KamalaHarris', 'displayname': 'Kamala Harris', 'id': 30354991, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}]"
"{'username': 'Mgilija5', 'displayname': 'Mandla Nhleko✌', 'id': 80053769, 'description': 'Nhleko, Mgilija, Nyanganduna , Mabhengu, Nguboyengwe 🙌🙌✊✊👑', 'rawDescription': 'Nhleko, Mgilija, Nyanganduna , Mabhengu, Nguboyengwe 🙌🙌✊✊👑', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2009, 10, 5, 15, 42, 30, tzinfo=datetime.timezone.utc), 'followersCount': 4155, 'friendsCount': 3136, 'statusesCount': 69736, 'favouritesCount': 16920, 'listedCount': 29, 'mediaCount': 4036, 'location': 'Cape Town and KwaNdebele R573', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1347215159719292930/QZTdpDVm_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/80053769/1540406458'}","Is this current Results?

Biden 264
Trump 214

#Elections2020
#ElectionDay
#Trump2020 #ElectionNight
#Biden2020 #elections
#ElectionUsa #USAElections2020 #USElection2020 

#USAElections2020",https://twitter.com/Mgilija5/status/1324109663399497730,2020-11-04 22:01:59+00:00,0,1,1,
"{'username': 'leila021', 'displayname': 'leila bardien-taylor', 'id': 136936363, 'description': 'The Intentional Learner - be kind ✌🏾', 'rawDescription': 'The Intentional Learner - be kind ✌🏾', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2010, 4, 25, 9, 25, 44, tzinfo=datetime.timezone.utc), 'followersCount': 58, 'friendsCount': 197, 'statusesCount': 793, 'favouritesCount': 2314, 'listedCount': 1, 'mediaCount': 28, 'location': 'Cape Town, South Africa', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1159394866998185984/UdA9Hj_r_normal.jpg', 'profileBannerUrl': None}",A #Trump2020 win would just be another nail in the coffin of this year😭,https://twitter.com/leila021/status/1324090834527129601,2020-11-04 20:47:10+00:00,1,0,0,
"{'username': 'adriaanmjonker', 'displayname': 'Adriaan Jonker', 'id': 1131084956, 'description': ""Nkosi Sikelel' iAfrica  |\nProudly South African 🇿🇦 |\nPowered by : Jeremiah 29:11 ✝️ |\nRemember - YOU Matter ❤️"", 'rawDescription': ""Nkosi Sikelel' iAfrica  |\nProudly South African 🇿🇦 |\nPowered by : Jeremiah 29:11 ✝️ |\nRemember - YOU Matter ❤️"", 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2013, 1, 29, 13, 43, 24, tzinfo=datetime.timezone.utc), 'followersCount': 40, 'friendsCount': 70, 'statusesCount': 116, 'favouritesCount': 153, 'listedCount': 0, 'mediaCount': 3, 'location': 'Durban, South Africa', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1302861136014999554/niDQubjs_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1131084956/1599461482'}","Who do you think will win?
#Trump2020 or #Biden2020

#whowillwin #PresidentialElection2020",https://twitter.com/adriaanmjonker/status/1323962371208028160,2020-11-04 12:16:41+00:00,1,0,3,
"{'username': 'ElSheikhaSA', 'displayname': 'Sipho Mazibuko', 'id': 2483743747, 'description': 'Fashionista👔 | Brand Affiliate 🛒 | \nPresenter🎬 | Deejay 🎶\nFavorite Books!\n1)10x Rule\n2)Rich Dad Poor Dad\n\nm.youtube.com/watch?v=Ahn4E_…', 'rawDescription': 'Fashionista👔 | Brand Affiliate 🛒 | \nPresenter🎬 | Deejay 🎶\nFavorite Books!\n1)10x Rule\n2)Rich Dad Poor Dad\n\nhttps://t.co/QuAM97HiS7', 'descriptionUrls': [{'text': 'm.youtube.com/watch?v=Ahn4E_…', 'url': 'https://m.youtube.com/watch?v=Ahn4E_amFtk', 'tcourl': 'https://t.co/QuAM97HiS7', 'indices': (106, 129)}], 'verified': False, 'created': datetime.datetime(2014, 5, 8, 13, 19, 4, tzinfo=datetime.timezone.utc), 'followersCount': 161, 'friendsCount': 464, 'statusesCount': 1115, 'favouritesCount': 321, 'listedCount': 0, 'mediaCount': 114, 'location': 'Johannesburg South', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1342427767216992256/W15cwMQM_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2483743747/1538109965'}","Donald Trump for Second Term 🙌🙌🙌🚀🚀🚀👏👏👏👏🔥🔥🔥🔥👌👌👌
#AmericanElection2020 #Elections2020 #Trump2020 #TrumpvsBiden",https://twitter.com/ElSheikhaSA/status/1323919533913051138,2020-11-04 09:26:28+00:00,0,0,2,
"{'username': 'SharonLeeYoung4', 'displayname': 'Sharon-Lee Young', 'id': 1164960296693325826, 'description': 'I am interested in the wellbeing of all, I love my children human and animals , I believe people are inherently good , and peace in my world Is pure bliss .', 'rawDescription': 'I am interested in the wellbeing of all, I love my children human and animals , I believe people are inherently good , and peace in my world Is pure bliss .', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2019, 8, 23, 17, 59, 45, tzinfo=datetime.timezone.utc), 'followersCount': 157, 'friendsCount': 274, 'statusesCount': 560, 'favouritesCount': 314, 'listedCount': 0, 'mediaCount': 49, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1164961105539735552/n7gca2xz_normal.jpg', 'profileBannerUrl': None}","@TuckerCarlson   Tucker  I am watching your show, please bring more attention to South Africa , I am disgusted at the views of the Democratic Party, our country needs help from the international community,  white people are being killed  (brutally ) #Trump2020 #FoxAndFriends",https://twitter.com/SharonLeeYoung4/status/1323859814787796992,2020-11-04 05:29:10+00:00,0,0,0,"[{'username': 'TuckerCarlson', 'displayname': 'Tucker Carlson', 'id': 22703645, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}]"
"{'username': 'corne06946803', 'displayname': 'Corne du Preez', 'id': 1543009897, 'description': 'I am in the Eng. Ind.I love life,believe in God, stay positive & motivated,I enjoy Cycling,Running and Swimming.Just enjoy life!🙂', 'rawDescription': 'I am in the Eng. Ind.I love life,believe in God, stay positive & motivated,I enjoy Cycling,Running and Swimming.Just enjoy life!🙂', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2013, 6, 24, 10, 28, 37, tzinfo=datetime.timezone.utc), 'followersCount': 1698, 'friendsCount': 2995, 'statusesCount': 16100, 'favouritesCount': 44782, 'listedCount': 29, 'mediaCount': 3688, 'location': 'free state', 'protected': False, 'linkUrl': 'http://www.worleyparsons.com', 'linkTcourl': 'https://t.co/OzurgzUxbD', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1327459472437092355/g5yiVsVB_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1543009897/1601751477'}",Go Trump!! #Vote2020 #Trump2020 https://t.co/Ewp8Cur2e8,https://twitter.com/corne06946803/status/1323832952183291904,2020-11-04 03:42:26+00:00,0,0,1,
"{'username': 'ForexPrestige', 'displayname': 'Prestige_Forex_Academy', 'id': 1072301788676673538, 'description': 'Strictly Forex Education Only.\nStrictly Mentorship only.\nNo account management.❌\nNo signal provider❌\n+27793314700\nPrestigeforex@hotmail.com', 'rawDescription': 'Strictly Forex Education Only.\nStrictly Mentorship only.\nNo account management.❌\nNo signal provider❌\n+27793314700\nPrestigeforex@hotmail.com', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2018, 12, 11, 1, 27, 23, tzinfo=datetime.timezone.utc), 'followersCount': 56, 'friendsCount': 370, 'statusesCount': 529, 'favouritesCount': 41, 'listedCount': 0, 'mediaCount': 19, 'location': 'South Africa', 'protected': False, 'linkUrl': 'https://www.hotforex.co.za/hf/en/index.html?refid=10326865', 'linkTcourl': 'https://t.co/v7JIocGcBy', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1074328974648594432/5hWazPOM_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1072301788676673538/1544975164'}","#EURUSD #eurusd #london #londonsession #newyork #newyorksession 
We are expecting a very volatile #usd due to #trump2020 elections, #nfp and increasing #corona cases. Strict risk management is key here. @ South Africa https://t.co/BmekdxJlxg",https://twitter.com/ForexPrestige/status/1323112253927940096,2020-11-02 03:58:38+00:00,0,0,0,
"{'username': 'Migrate2NZ', 'displayname': 'New Zealand awaits', 'id': 29321659, 'description': 'New Zealand - A beautiful place to grow. Check out the photos...', 'rawDescription': 'New Zealand - A beautiful place to grow. Check out the photos...', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2009, 4, 6, 23, 13, 36, tzinfo=datetime.timezone.utc), 'followersCount': 10685, 'friendsCount': 11342, 'statusesCount': 1597, 'favouritesCount': 2270, 'listedCount': 127, 'mediaCount': 446, 'location': 'New Zealand, South Pacific', 'protected': False, 'linkUrl': 'http://www.move2nz.com', 'linkTcourl': 'http://t.co/tscuk8CFvF', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/455682586010845184/zCVYCW1u_normal.jpeg', 'profileBannerUrl': None}","@GOP @FLOTUS #ImPOTUS promised he would have the #vaccine available for #Americans by election day... 
hands up if you've been offered yours

https://t.co/Jt5ctGwX0v

#TrumpLiesAmericansDie 
#HeIsAPathologicalLiar

#AmericaYouCanDoBetter

@FoxNews @foxandfriends 
#MAGA #KAG #Trump2020",https://twitter.com/Migrate2NZ/status/1322861707333570566,2020-11-01 11:23:03+00:00,0,2,2,"[{'username': 'GOP', 'displayname': 'GOP', 'id': 11134252, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}, {'username': 'FLOTUS', 'displayname': 'Jill Biden', 'id': 1349154719386775552, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}, {'username': 'FoxNews', 'displayname': 'Fox News', 'id': 1367531, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}, {'username': 'foxandfriends', 'displayname': 'FOX & friends', 'id': 15513604, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}]"
